title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
Mac(O0);         234.375;           0.229;           0.000;        100;         55;       43731.382;       48023.873;       44347.882;         934.594 ( 2.107 %);   1720.352
Mac(O1);         234.375;           0.229;           0.000;        100;         55;       43776.527;       51671.727;       45581.425;        1861.986 ( 4.085 %);   1673.795
Mac(O2);         234.375;           0.229;           0.000;        100;         55;       45078.073;       46785.109;       45745.277;         313.667 ( 0.686 %);   1667.799
Mac(O3);         234.375;           0.229;           0.000;        100;         55;       42788.727;       46056.145;       43889.436;         862.837 ( 1.966 %);   1738.321
Mac(Ofast);         234.375;           0.229;           0.000;        100;         55;       42666.418;       49841.945;       44171.859;        1928.628 ( 4.366 %);   1727.207
Deb-Clang(O0);         234.375;           0.229;           0.000;        100;         55;      135493.509;      138198.400;      135751.096;         448.324 ( 0.330 %);    562.013
Deb-Clang(O1);         234.375;           0.229;           0.000;        100;         55;      135534.873;      138439.218;      135863.647;         490.693 ( 0.361 %);    561.548
Deb-Clang(O2);         234.375;           0.229;           0.000;        100;         55;      135563.836;      164752.564;      137301.452;        5701.257 ( 4.152 %);    555.667
Deb-Clang(O3);         234.375;           0.229;           0.000;        100;         55;      135715.564;      138659.636;      135975.113;         493.912 ( 0.363 %);    561.088
Deb-Clang(Ofast);         234.375;           0.229;           0.000;        100;         55;      135833.964;      138285.836;      136093.164;         406.709 ( 0.299 %);    560.601
Deb-gcc(O0);         234.375;           0.229;           0.000;        100;         55;      135655.818;      138474.545;      135929.386;         465.198 ( 0.342 %);    561.276
Deb-gcc(O1);         234.375;           0.229;           0.000;        100;         55;      135662.182;      160898.964;      136906.533;        4473.715 ( 3.268 %);    557.270
Deb-gcc(O2);         234.375;           0.229;           0.000;        100;         55;      135590.964;      137712.400;      135946.496;         342.899 ( 0.252 %);    561.206
Deb-gcc(O3);         234.375;           0.229;           0.000;        100;         55;      135625.400;      138545.964;      135922.176;         492.137 ( 0.362 %);    561.306
Deb-gcc(Ofast);         234.375;           0.229;           0.000;        100;         55;      135769.655;      138718.109;      136135.276;         477.659 ( 0.351 %);    560.427
