title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
Mac(O0);         234.375;           0.229;           0.000;        100;         55;     1993194.236;     2589131.709;     2101699.942;      116504.843 ( 5.543 %);     36.301
Mac(O1);         234.375;           0.229;           0.000;        100;         55;      415757.564;      467011.509;      435680.545;       18354.678 ( 4.213 %);    175.114
Mac(O2);         234.375;           0.229;           0.000;        100;         55;      218543.545;      321753.327;      230154.652;       24808.138 (10.779 %);    331.490
Mac(O3);         234.375;           0.229;           0.000;        100;         55;      216338.164;      238296.164;      220204.255;        3914.290 ( 1.778 %);    346.469
Mac(OFast);      234.375;           0.229;           0.000;        100;         55;      210977.164;      340532.727;      235060.889;       29310.711 (12.469 %);    324.571
Deb-Clang(O0);         234.375;           0.229;           0.000;        100;         55;     1798917.218;     2106147.655;     1955004.549;      152894.936 ( 7.821 %);     39.025
Deb-Clang(O1);         234.375;           0.229;           0.000;        100;         55;      328315.964;      340155.255;      334520.621;        2338.186 ( 0.699 %);    228.069
Deb-Clang(O2);         234.375;           0.229;           0.000;        100;         55;      177211.745;      242775.036;      181292.889;       14612.737 ( 8.060 %);    420.833
Deb-Clang(O3);         234.375;           0.229;           0.000;        100;         55;      177481.509;      178391.764;      178060.598;         187.125 ( 0.105 %);    428.472
Deb-Clang(Ofast);         234.375;           0.229;           0.000;        100;         55;      177165.636;      178350.964;      177903.625;         340.326 ( 0.191 %);    428.850
Deb-gcc(O0);         234.375;           0.229;           0.000;        100;         55;     2676970.145;     2689439.345;     2682008.594;        3232.664 ( 0.121 %);     28.447
Deb-gcc(O1);         234.375;           0.229;           0.000;        100;         55;      369521.036;      375077.109;      370215.694;         915.442 ( 0.247 %);    206.080
Deb-gcc(O2);         234.375;           0.229;           0.000;        100;         55;      367328.745;      383887.982;      371748.988;        3603.927 ( 0.969 %);    205.230
Deb-gcc(O3);         234.375;           0.229;           0.000;        100;         55;      200591.200;      203461.509;      200887.609;         487.570 ( 0.243 %);    379.784
Deb-gcc(Ofast);         234.375;           0.229;           0.000;        100;         55;      171628.164;      183960.218;      177706.480;        3904.155 ( 2.197 %);    429.326
