title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
Mac(O0);         234.375;           0.229;           0.000;        100;         55;     2720621.345;     2960556.509;     2779899.277;       63898.589 ( 2.299 %);     27.445
Mac(O1);         234.375;           0.229;           0.000;        100;         55;      755456.436;      804855.473;      773674.977;       12428.460 ( 1.606 %);     98.612
Mac(O2);         234.375;           0.229;           0.000;        100;         55;      710555.745;      758096.909;      725253.095;       12893.313 ( 1.778 %);    105.196
Mac(O3);         234.375;           0.229;           0.000;        100;         55;      707771.491;      745467.818;      717049.941;        7510.230 ( 1.047 %);    106.400
Mac(OFast);         234.375;           0.229;           0.000;        100;         55;      695630.000;      857224.018;      714693.087;       27113.978 ( 3.794 %);    106.751
Deb-Clang(O0);         234.375;           0.229;           0.000;        100;         55;     2543732.145;     2551127.091;     2545493.007;        1371.643 ( 0.054 %);     29.972
Deb-Clang(O1);         234.375;           0.229;           0.000;        100;         55;      574316.691;      585921.345;      575932.672;        2309.801 ( 0.401 %);    132.470
Deb-Clang(O2);         234.375;           0.229;           0.000;        100;         55;      838199.291;      848851.982;      839772.671;        2670.769 ( 0.318 %);     90.851
Deb-Clang(O3);         234.375;           0.229;           0.000;        100;         55;      838331.000;      842523.764;      839274.962;         854.052 ( 0.102 %);     90.905
Deb-Clang(Ofast);         234.375;           0.229;           0.000;        100;         55;      465973.182;      467923.200;      466331.015;         337.519 ( 0.072 %);    163.605
Deb-gcc(O0);         234.375;           0.229;           0.000;        100;         55;     3299557.345;     3306635.527;     3303854.879;        1708.347 ( 0.052 %);     23.092
Deb-gcc(O1);         234.375;           0.229;           0.000;        100;         55;      602384.945;      642199.982;      611100.129;       12426.296 ( 2.033 %);    124.847
Deb-gcc(O2);         234.375;           0.229;           0.000;        100;         55;      575899.291;      593341.091;      580203.225;        5027.167 ( 0.866 %);    131.495
Deb-gcc(O3);         234.375;           0.229;           0.000;        100;         55;      483249.745;      501863.200;      484915.958;        3610.555 ( 0.745 %);    157.334
Deb-gcc(Ofast);         234.375;           0.229;           0.000;        100;         55;      285736.309;      300273.927;      286627.421;        2461.867 ( 0.859 %);    266.178
