title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
Mac(O0);         234.375;           0.229;           0.000;        100;         55;     2464690.109;     2816614.564;     2518780.925;       59862.987 ( 2.377 %);     30.290
Mac(O1);         234.375;           0.229;           0.000;        100;         55;      413705.527;      488481.636;      431138.714;       20627.102 ( 4.784 %);    176.959
Mac(O2);         234.375;           0.229;           0.000;        100;         55;      217625.345;      234256.800;      221873.642;        3616.827 ( 1.630 %);    343.862
Mac(O3);         234.375;           0.229;           0.000;        100;         55;      216303.982;      227714.964;      218805.077;        1879.248 ( 0.859 %);    348.685
Mac(OFast);         234.375;           0.229;           0.000;        100;         55;      211058.345;      222575.400;      213942.955;        2611.921 ( 1.221 %);    356.609
Deb-Clang(O0);         234.375;           0.229;           0.000;        100;         55;     2268311.709;     2273236.582;     2269858.113;        1137.863 ( 0.050 %);     33.612
Deb-Clang(O1);         234.375;           0.229;           0.000;        100;         55;      323684.200;      332986.364;      327056.294;        3423.918 ( 1.047 %);    233.275
Deb-Clang(O2);         234.375;           0.229;           0.000;        100;         55;      177325.582;      178362.982;      177871.472;         315.621 ( 0.177 %);    428.927
Deb-Clang(O3);         234.375;           0.229;           0.000;        100;         55;      177521.400;      178387.582;      178036.013;         205.805 ( 0.116 %);    428.531
Deb-Clang(Ofast);         234.375;           0.229;           0.000;        100;         55;      176956.891;      178339.855;      177930.542;         333.347 ( 0.187 %);    428.785
Deb-gcc(O0);         234.375;           0.229;           0.000;        100;         55;     3280991.618;     3287832.818;     3284783.356;        1845.376 ( 0.056 %);     23.226
Deb-gcc(O1);         234.375;           0.229;           0.000;        100;         55;      509891.527;      521468.145;      511597.827;        2712.941 ( 0.530 %);    149.129
Deb-gcc(O2);         234.375;           0.229;           0.000;        100;         55;      556875.255;      567154.345;      558399.587;        2561.649 ( 0.459 %);    136.630
Deb-gcc(O3);         234.375;           0.229;           0.000;        100;         55;      125504.964;      126424.491;      125992.621;         225.613 ( 0.179 %);    605.543
Deb-gcc(Ofast);         234.375;           0.229;           0.000;        100;         55;      180373.655;      220619.673;      185770.790;        9200.646 ( 4.953 %);    410.689
