title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
Mac(O0);         234.375;           0.229;           0.000;        100;         55;     1639633.164;     1835262.727;     1691365.601;       46072.662 ( 2.724 %);     45.108
Mac(O1);         234.375;           0.229;           0.000;        100;         55;      367892.200;      405182.800;      388908.611;       12592.243 ( 3.238 %);    196.174
Mac(O2);         234.375;           0.229;           0.000;        100;         55;      374340.091;      391436.182;      380198.083;        4736.640 ( 1.246 %);    200.669
Mac(O3);         234.375;           0.229;           0.000;        100;         55;      364290.927;      411455.800;      374607.288;        7364.492 ( 1.966 %);    203.664
Mac(OFast);         234.375;           0.229;           0.000;        100;         55;      362477.327;      393819.055;      373365.840;        6924.913 ( 1.855 %);    204.341
Deb-Clang(O0);         234.375;           0.229;           0.000;        100;         55;     1644110.218;     1651613.745;     1648797.180;        1955.077 ( 0.119 %);     46.272
Deb-Clang(O1);         234.375;           0.229;           0.000;        100;         55;      336833.036;      339730.836;      337443.320;         636.525 ( 0.189 %);    226.094
Deb-Clang(O2);         234.375;           0.229;           0.000;        100;         55;      293550.236;      306944.636;      294383.385;        2389.183 ( 0.812 %);    259.165
Deb-Clang(O3);         234.375;           0.229;           0.000;        100;         55;      291339.364;      291946.691;      291603.208;         140.425 ( 0.048 %);    261.636
Deb-Clang(Ofast);         234.375;           0.229;           0.000;        100;         55;      291327.164;      291941.782;      291579.997;         162.858 ( 0.056 %);    261.657
Deb-gcc(O0);         234.375;           0.229;           0.000;        100;         55;     2373741.382;     2412367.455;     2384784.683;       12278.546 ( 0.515 %);     31.992
Deb-gcc(O1);         234.375;           0.229;           0.000;        100;         55;      328242.200;      332616.582;      330298.088;        1491.848 ( 0.452 %);    230.985
Deb-gcc(O2);         234.375;           0.229;           0.000;        100;         55;      179051.727;      182663.582;      180477.819;         598.421 ( 0.332 %);    422.733
Deb-gcc(O3);         234.375;           0.229;           0.000;        100;         55;      180326.673;      181003.945;      180751.936;         145.727 ( 0.081 %);    422.092
Deb-gcc(Ofast);         234.375;           0.229;           0.000;        100;         55;      179749.582;      181487.382;      180849.578;         363.668 ( 0.201 %);    421.864
