title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
Mac(O0);           9.375;           0.009;           0.000;        600;        500;       32211.179;        1597.146;        2451.492;        1740.660;         159.072 (9.139 %);   2629.829
Mac(O1);           9.375;           0.009;           0.000;        600;        500;       46161.550;         769.156;        1032.232;         802.411;          52.148 (6.499 %);   5704.856
Mac(O2);           9.375;           0.009;           0.000;        600;        500;       18514.750;         769.204;         842.934;         779.613;          18.773 (2.408 %);   5871.682
Mac(O3);           9.375;           0.009;           0.000;        600;        500;       15535.367;         770.602;         884.672;         780.901;          24.285 (3.110 %);   5861.996
Deb-Clang(O0);     9.375;           0.009;           0.000;        600;        500;       23075.926;        1513.278;        2949.470;        1563.257;         249.076 (15.933 %);   2928.268
Deb-Clang(O1);     9.375;           0.009;           0.000;        600;        500;       60029.575;         403.096;        1257.718;         462.408;         192.972 (41.732 %);   9899.567
Deb-Clang(O2);     9.375;           0.009;           0.000;        600;        500;       28883.707;         393.436;         499.636;         397.788;          18.412 (4.629 %);  11507.721
Deb-Clang(O3);     9.375;           0.009;           0.000;        600;        500;       43474.420;         393.436;         859.752;         408.678;          81.018 (19.825 %);  11201.091
Deb-Clang(Ofast);  9.375;           0.009;           0.000;        600;        500;       21585.813;          99.766;         311.746;         162.565;          96.483 (59.350 %);  28158.730
Deb-gcc(O0);       9.375;           0.009;           0.000;        600;        500;       48603.146;        1513.058;        2967.282;        1560.838;         252.512 (16.178 %);   2932.808
Deb-gcc(O1);       9.375;           0.009;           0.000;        600;        500;       97656.747;         403.778;        1255.152;         434.835;         148.701 (34.197 %);  10527.305
Deb-gcc(O2);       9.375;           0.009;           0.000;        600;        500;       19357.162;         403.096;        1193.438;         427.948;         137.450 (32.118 %);  10696.712
Deb-gcc(O3);       9.375;           0.009;           0.000;        600;        500;       26604.832;         392.776;        1253.690;         421.753;         149.655 (35.484 %);  10853.843
Deb-gcc(Ofast);    9.375;           0.009;           0.000;        600;        500;       26923.291;         198.130;         615.614;         259.139;         139.159 (53.700 %);  17664.778
