title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
Mac(O0);           9.375;           0.009;           0.000;        600;        500;       27157.129;        1257.244;        1623.340;        1475.261;         124.311 (8.426 %);   3102.934
Mac(O1);           9.375;           0.009;           0.000;        600;        500;       48195.433;         745.682;         861.148;         776.394;          19.570 (2.521 %);   5896.020
Mac(O2);           9.375;           0.009;           0.000;        600;        500;       46178.256;         738.466;         925.740;         768.483;          36.765 (4.784 %);   5956.722
Mac(O3);           9.375;           0.009;           0.000;        600;        500;      143525.400;         745.316;         865.640;         776.867;          23.406 (3.013 %);   5892.432
Deb-clang(O0);     9.375;           0.009;           0.000;        600;        500;       47703.039;        1515.340;        1530.430;        1518.920;           4.250 (0.280 %);   3013.745
Deb-clang(O1);     9.375;           0.009;           0.000;        600;        500;       29612.187;         392.756;         402.334;         393.250;           1.919 (0.488 %);  11640.522
Deb-clang(O2);     9.375;           0.009;           0.000;        600;        500;      133828.076;         392.756;         400.772;         393.721;           2.447 (0.621 %);  11626.592
Deb-clang(O3);     9.375;           0.009;           0.000;        600;        500;       25567.225;         392.756;         400.190;         393.376;           1.863 (0.474 %);  11636.786
Deb-clang(Ofast);  9.375;           0.009;           0.000;        600;        500;       48015.202;         140.764;         184.286;         143.277;           7.494 (5.231 %);  31949.645
Deb-gcc(O0);       9.375;           0.009;           0.000;        600;        500;       42034.874;        1512.254;        1533.796;        1514.797;           4.577 (0.302 %);   3021.947
Deb-gcc(O1);       9.375;           0.009;           0.000;        600;        500;       19591.888;         393.436;         400.252;         393.799;           1.399 (0.355 %);  11624.298
Deb-gcc(O2);       9.375;           0.009;           0.000;        600;        500;       25446.147;         392.756;         401.372;         393.616;           1.999 (0.508 %);  11629.714
Deb-gcc(O3);       9.375;           0.009;           0.000;        600;        500;       24961.061;         392.756;         401.754;         394.107;           2.829 (0.718 %);  11615.216
Deb-gcc(Ofast);    9.375;           0.009;           0.000;        600;        500;       49945.976;         253.254;         261.050;         254.163;           2.218 (0.873 %);  18010.662
