title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
Mac(O0);           9.375;           0.009;           0.000;        600;        500;        7510.522;        1688.912;        1970.828;        1815.017;          53.196 (2.931 %);   2522.090
Mac(O1);           9.375;           0.009;           0.000;        600;        500;       16855.507;         742.910;         920.860;         763.408;          40.832 (5.349 %);   5996.319
Mac(O2);           9.375;           0.009;           0.000;        600;        500;        4588.651;         735.146;         913.938;         753.066;          44.031 (5.847 %);   6078.669
Mac(O3);           9.375;           0.009;           0.000;        600;        500;        7841.806;         734.078;         825.308;         746.303;          20.078 (2.690 %);   6133.752
Deb-Clang(O0);     9.375;           0.009;           0.000;        600;        500;        4427.966;        1505.542;        2093.486;        1531.245;         101.858 (6.652 %);   2989.487
Deb-Clang(O1);     9.375;           0.009;           0.000;        600;        500;       19534.979;         401.714;         904.316;         419.976;          87.245 (20.774 %);  10899.758
Deb-Clang(O2);     9.375;           0.009;           0.000;        600;        500;       23308.852;         392.756;         425.138;         394.902;           6.033 (1.528 %);  11591.840
Deb-Clang(O3);     9.375;           0.009;           0.000;        600;        500;        6029.837;         392.756;         414.296;         394.518;           4.310 (1.092 %);  11603.098
Deb-Clang(Ofast);  9.375;           0.009;           0.000;        600;        500;        4169.815;          70.170;         218.750;          88.889;          48.472 (54.531 %);  51498.261
Deb-gcc(O0);       9.375;           0.009;           0.000;        600;        500;        5555.469;        1505.422;        4065.824;        1630.442;         495.866 (30.413 %);   2807.606
Deb-gcc(O1);       9.375;           0.009;           0.000;        600;        500;        3979.410;         401.252;        1250.364;         450.143;         170.226 (37.816 %);  10169.286
Deb-gcc(O2);       9.375;           0.009;           0.000;        600;        500;        6084.283;         401.592;         413.034;         402.850;           2.903 (0.721 %);  11363.135
Deb-gcc(O3);       9.375;           0.009;           0.000;        600;        500;       39625.596;         392.756;        1220.348;         441.773;         167.696 (37.960 %);  10361.961
Deb-gcc(Ofast);    9.375;           0.009;           0.000;        600;        500;        3975.272;         194.664;         438.522;         250.660;         100.348 (40.034 %);  18262.361
