title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
Mac(O0)(O0);      9.375;           0.009;           0.000;        600;        500;        5897.147;        1498.986;        1761.954;        1583.536;          61.720 (3.898 %);   2890.770
Mac(O1)(O1);      9.375;           0.009;           0.000;        600;        500;        4788.710;         733.204;         860.332;         745.387;          30.204 (4.052 %);   6141.286
Mac(O2)(O2);      9.375;           0.009;           0.000;        600;        500;        7302.450;         710.654;         828.786;         739.755;          23.731 (3.208 %);   6188.043
Mac(O3)(03);      9.375;           0.009;           0.000;        600;        500;        5395.659;         688.008;         788.844;         729.148;          23.313 (3.197 %);   6278.061
Deb-Clang(O0);    9.375;           0.009;           0.000;        600;        500;       11757.349;        1506.966;        1543.834;        1510.647;           6.720 (0.445 %);   3030.249
Deb-Clang(O1);    9.375;           0.009;           0.000;        600;        500;        4433.802;         392.076;         400.450;         393.638;           2.319 (0.589 %);  11629.046
Deb-Clang(O2);    9.375;           0.009;           0.000;        600;        500;        3420.514;         392.096;         400.090;         393.141;           1.637 (0.416 %);  11643.741
Deb-Clang(O3);    9.375;           0.009;           0.000;        600;        500;        3987.979;         392.054;         400.092;         393.373;           1.959 (0.498 %);  11636.876
Deb-Clang(Ofast); 9.375;           0.009;           0.000;        600;        500;        7632.678;          70.392;         219.072;         137.220;          74.287 (54.137 %);  33359.895
Deb-gcc(O0);      9.375;           0.009;           0.000;        600;        500;        4802.332;        1500.132;        1514.902;        1503.257;           3.661 (0.244 %);   3045.146
Deb-gcc(O1);      9.375;           0.009;           0.000;        600;        500;        8763.305;         393.096;         402.234;         394.112;           2.534 (0.643 %);  11615.076
Deb-gcc(O2);      9.375;           0.009;           0.000;        600;        500;        3248.503;         393.096;         400.112;         393.548;           1.627 (0.413 %);  11631.720
Deb-gcc(O3);      9.375;           0.009;           0.000;        600;        500;        4272.021;         393.096;         400.972;         393.784;           2.134 (0.542 %);  11624.726
Deb-gcc(Ofast);   9.375;           0.009;           0.000;        600;        500;        6091.159;         121.990;         141.166;         123.561;           3.781 (3.060 %);  37047.631
